,date_kotirovki,close,PhysicalLong,PhysicalShort,JuridicalLong,JuridicalShort,putov_summa,PhysicalLong_liza,PhysicalShort_liza,JuridicalLong_liza,JuridicalShort_liza,putov_summa_liza
83,2013-05-07,31.0565,771080,104333,870408,1537155,3282976,4047,841,358,146,5392
84,2013-05-08,31.118,725001,89167,862082,1497916,3174166,4211,677,362,135,5385
85,2013-05-10,31.36,714766,101733,911033,1524066,3251598,4025,694,380,124,5223
86,2013-05-13,31.3475,689699,119477,853473,1423695,3086344,4139,738,384,132,5393
87,2013-05-14,31.356,687545,112466,835076,1410155,3045242,4058,796,374,135,5363
88,2013-05-15,31.45,746265,151587,853272,1447950,3199074,3955,900,387,135,5377
89,2013-05-16,31.3615,751586,117643,814896,1448839,3132964,3910,948,354,160,5372
90,2013-05-17,31.421,681140,111601,830045,1399584,3022370,3827,808,363,141,5139
91,2013-05-20,31.252,667070,110816,812946,1369200,2960032,3658,1089,343,155,5245
92,2013-05-21,31.238,672562,93445,786085,1365202,2917294,3878,876,362,145,5261
93,2013-05-22,31.425,669589,97154,801130,1373565,2941438,3787,981,341,160,5269
94,2013-05-23,31.407,691004,99115,826986,1418875,3035980,3874,812,365,137,5188
95,2013-05-24,31.32,716032,113822,848460,1450670,3128984,3964,744,370,143,5221
96,2013-05-27,31.362,703149,110201,861434,1454382,3129166,3950,823,364,139,5276
97,2013-05-28,31.515,685618,131363,910970,1465225,3193176,3929,824,379,135,5267
98,2013-05-29,31.5925,715589,136581,951742,1530750,3334662,3824,987,360,148,5319
99,2013-05-30,31.727,674622,147621,931874,1458875,3212992,3767,1069,372,143,5351
100,2013-05-31,31.952,618502,159759,1017073,1475816,3271150,3440,1241,369,155,5205
101,2013-06-03,31.779,625602,168585,995790,1452807,3242784,3095,1363,332,173,4963
102,2013-06-04,31.905,539897,148183,990531,1382245,3060856,3273,1291,346,164,5074
103,2013-06-05,32.165,499369,163671,980901,1316599,2960540,3088,1446,335,168,5037
104,2013-06-06,32.12,481946,222484,1063626,1323088,3091144,3084,1473,334,173,5064
105,2013-06-07,32.1675,501861,193195,990657,1299323,2985036,2887,1494,296,177,4854
106,2013-06-10,32.307,431773,204815,828486,1055444,2520518,2869,1575,301,176,4921
107,2013-06-11,32.394,455867,138481,793492,1110878,2498718,2904,1420,291,189,4804
108,2013-06-13,31.948,416082,119993,737769,1033858,2307702,2851,1296,275,196,4618
